yc,xc1,xc2,tc1,tc2,tc3
114.03,24.42,85.17,9.26,7.65,2.89
144.9,24.12,87.17,9.26,7.65,2.89
185.86,23.82,89.17,9.26,7.65,2.89
157.34,23.99,89.42,9.26,7.65,2.89
122.14,24.67,86.67,9.26,7.65,2.89
146.01,25.23,84.42,9.26,7.65,2.89
175.62,25.92,81.67,9.26,7.65,2.89
189.7,26.42,79.42,9.26,7.65,2.89
221.4,26.91,76.08,9.26,7.65,2.89
274.55,27.43,73.42,9.26,7.65,2.89
355.64,27.66,75.33,9.26,7.65,2.89
508.47,28.28,72.92,9.26,7.65,2.89
573.07,28.35,70.58,9.26,7.65,2.89
590.09,27.92,72.75,9.26,7.65,2.89
548.76,27.22,74.58,9.26,7.65,2.89
504.63,26.62,75.58,9.26,7.65,2.89
439.27,26.32,76.58,9.26,7.65,2.89
348.7,26.03,78.75,9.26,7.65,2.89
266.99,25.84,78.83,9.26,7.65,2.89
